2014/05/24	16:42:33,065	116,45125
2014/05/24	16:42:33,175	115,30771
2014/05/24	16:42:33,286	117,26485
2014/05/24	16:42:33,396	118,12109
2014/05/24	16:42:33,502	115,7068
2014/05/24	16:42:33,616	131,21451
2014/05/24	16:42:33,722	130,06327
2014/05/24	16:42:33,834	118,2966
2014/05/24	16:42:33,941	115,97256
2014/05/24	16:42:34,052	116,73741
2014/05/24	16:42:34,163	116,96848
2014/05/24	16:42:34,268	171,00975
2014/05/24	16:42:34,380	117,42132
2014/05/24	16:42:34,489	140,01224
2014/05/24	16:42:34,597	156,40952
2014/05/24	16:42:34,709	115,67347
2014/05/24	16:42:34,820	118,85601
2014/05/24	16:42:34,925	116,45669
2014/05/24	16:42:35,037	115,65227
2014/05/24	16:42:35,148	115,89546
2014/05/24	16:42:35,255	129,66939
2014/05/24	16:42:35,362	120,11746
2014/05/24	16:42:35,471	117,56145
2014/05/24	16:42:35,582	116,96599
2014/05/24	16:42:35,694	118,26508
2014/05/24	16:42:35,800	154,29683
2014/05/24	16:42:35,913	115,66349
2014/05/24	16:42:36,021	116,25193
2014/05/24	16:42:36,131	119,79206
2014/05/24	16:42:36,240	117,9746
2014/05/24	16:42:36,351	116,14399
2014/05/24	16:42:36,460	115,73492
2014/05/24	16:42:36,568	215,49955
2014/05/24	16:42:36,677	171,74512
2014/05/24	16:42:36,785	145,93605
2014/05/24	16:42:36,893	114,10295
2014/05/24	16:42:37,007	117,97256
2014/05/24	16:42:37,117	117,03107
2014/05/24	16:42:37,222	124,3254
2014/05/24	16:42:37,331	130,53084
2014/05/24	16:42:37,440	134,11474
2014/05/24	16:42:37,552	116,81973
2014/05/24	16:42:37,660	115,51088
2014/05/24	16:42:37,767	116,27891
2014/05/24	16:42:37,880	115,89955
2014/05/24	16:42:37,988	116,87143
2014/05/24	16:42:38,100	115,70454
2014/05/24	16:42:38,205	116,27574
2014/05/24	16:42:38,320	117,76327
2014/05/24	16:42:38,431	124,84354
2014/05/24	16:42:38,533	132,99229
2014/05/24	16:42:38,647	147,27596
2014/05/24	16:42:38,757	115,49546
2014/05/24	16:42:38,866	114,83741
2014/05/24	16:42:38,972	120,89546
2014/05/24	16:42:39,088	115,35465
2014/05/24	16:42:39,193	117,37166
2014/05/24	16:42:39,299	121,95896
2014/05/24	16:42:39,409	145,7415
2014/05/24	16:42:39,519	159,76281
2014/05/24	16:42:39,633	127,09966
2014/05/24	16:42:39,740	139,84014
2014/05/24	16:42:39,849	116,07664
2014/05/24	16:42:39,959	137,50317
2014/05/24	16:42:40,070	140,54218
2014/05/24	16:42:40,176	114,13605
2014/05/24	16:42:40,288	114,68957
2014/05/24	16:42:40,397	115,9415
2014/05/24	16:42:40,503	114,51111
2014/05/24	16:42:40,615	114,69887
2014/05/24	16:42:40,721	115,06689
2014/05/24	16:42:40,834	134,01247
2014/05/24	16:42:40,944	116,15782
2014/05/24	16:42:41,050	117,78163
2014/05/24	16:42:41,163	114,72676
2014/05/24	16:42:41,271	115,64263
2014/05/24	16:42:41,377	118,41293
2014/05/24	16:42:41,487	118,3381
2014/05/24	16:42:41,596	116,11043
2014/05/24	16:42:41,708	115,67937
2014/05/24	16:42:41,818	116,42562
2014/05/24	16:42:41,929	116,17234
2014/05/24	16:42:42,037	115,91077
2014/05/24	16:42:42,147	118,03401
2014/05/24	16:42:42,257	117,30431
2014/05/24	16:42:42,366	115,5941
2014/05/24	16:42:42,474	117,02585
2014/05/24	16:42:42,583	117,19025
2014/05/24	16:42:42,689	116,49796
2014/05/24	16:42:42,803	186,28934
2014/05/24	16:42:42,910	115,63878
2014/05/24	16:42:43,022	116,20295
2014/05/24	16:42:43,132	116,92392
2014/05/24	16:42:43,240	114,83515
2014/05/24	16:42:43,352	117,04218
2014/05/24	16:42:43,455	116,19864
2014/05/24	16:42:43,571	116,90907
2014/05/24	16:42:43,677	116,24762
2014/05/24	16:42:43,787	116,2059
2014/05/24	16:42:43,894	116,15306
2014/05/24	16:42:44,006	117,20113
2014/05/24	16:42:44,115	116,03447
2014/05/24	16:42:44,227	115,03265
2014/05/24	16:42:44,333	189,81485
2014/05/24	16:42:44,440	201,3542
2014/05/24	16:42:44,553	131,861
2014/05/24	16:42:44,661	218,26417
2014/05/24	16:42:44,770	181,67642
2014/05/24	16:42:44,881	176,01791
2014/05/24	16:42:44,992	129,65238
2014/05/24	16:42:45,098	262,23923
2014/05/24	16:42:45,209	243,14218
2014/05/24	16:42:45,316	336,71361
2014/05/24	16:42:45,432	154,97789
2014/05/24	16:42:45,537	252,8127
2014/05/24	16:42:45,647	191,7093
2014/05/24	16:42:45,757	119,41859
2014/05/24	16:42:45,862	302,99297
2014/05/24	16:42:45,971	285,91383
2014/05/24	16:42:46,080	255,14127
2014/05/24	16:42:46,190	219,25102
2014/05/24	16:42:46,302	217,36984
2014/05/24	16:42:46,410	237,09683
2014/05/24	16:42:46,518	291,30204
2014/05/24	16:42:46,627	188,43923
2014/05/24	16:42:46,740	129,64354
2014/05/24	16:42:46,853	115,72222
2014/05/24	16:42:46,956	122,80998
2014/05/24	16:42:47,070	116,60272
2014/05/24	16:42:47,174	201,43356
2014/05/24	16:42:47,289	137,84989
2014/05/24	16:42:47,395	429,98118
2014/05/24	16:42:47,506	308,94875
2014/05/24	16:42:47,615	204,09048
2014/05/24	16:42:47,725	232,90499
2014/05/24	16:42:47,831	226,92075
2014/05/24	16:42:47,942	222,70113
2014/05/24	16:42:48,053	115,9483
2014/05/24	16:42:48,159	117,26417
2014/05/24	16:42:48,268	156,02086
2014/05/24	16:42:48,377	117,4771
2014/05/24	16:42:48,487	231,23016
2014/05/24	16:42:48,600	217,01224
2014/05/24	16:42:48,712	661,94853
2014/05/24	16:42:48,821	119,44082
2014/05/24	16:42:48,931	156,68345
2014/05/24	16:42:49,036	121,34331
2014/05/24	16:42:49,146	117,12041
2014/05/24	16:42:49,254	171,13016
2014/05/24	16:42:49,365	237,18617
2014/05/24	16:42:49,472	378,42109
2014/05/24	16:42:49,583	120,95669
2014/05/24	16:42:49,694	221,55057
2014/05/24	16:42:49,801	307,4127
2014/05/24	16:42:49,909	258,05737
2014/05/24	16:42:50,018	477,04898
2014/05/24	16:42:50,131	395,71882
2014/05/24	16:42:50,237	322,72132
2014/05/24	16:42:50,347	352,35805
2014/05/24	16:42:50,457	169,41066
2014/05/24	16:42:50,565	317,3805
2014/05/24	16:42:50,675	360,51814
2014/05/24	16:42:50,788	299,00522
2014/05/24	16:42:50,898	260,54127
2014/05/24	16:42:51,002	769,35986
2014/05/24	16:42:51,112	335,41746
2014/05/24	16:42:51,222	646,82902
2014/05/24	16:42:51,331	562,00125
2014/05/24	16:42:51,445	729,46621
2014/05/24	16:42:51,550	226,74853
2014/05/24	16:42:51,663	177,58776
2014/05/24	16:42:51,773	233,38073
2014/05/24	16:42:51,878	190,78707
2014/05/24	16:42:51,990	294,59705
2014/05/24	16:42:52,096	425,11088
2014/05/24	16:42:52,206	253,57279
2014/05/24	16:42:52,319	184,11678
2014/05/24	16:42:52,425	271,03107
2014/05/24	16:42:52,534	213,011
2014/05/24	16:42:52,648	459,09025
2014/05/24	16:42:52,757	395,75442
2014/05/24	16:42:52,862	355,22789
2014/05/24	16:42:52,971	122,2034
2014/05/24	16:42:53,081	121,56009
2014/05/24	16:42:53,190	124,74853
2014/05/24	16:42:53,305	205,64104
2014/05/24	16:42:53,411	267,52744
2014/05/24	16:42:53,518	234,04399
2014/05/24	16:42:53,628	118,16281
2014/05/24	16:42:53,742	119,3661
2014/05/24	16:42:53,852	172,55283
2014/05/24	16:42:53,959	393,91995
2014/05/24	16:42:54,065	186,30522
2014/05/24	16:42:54,174	195,38776
2014/05/24	16:42:54,285	151,72744
2014/05/24	16:42:54,393	139,5034
2014/05/24	16:42:54,503	338,23741
2014/05/24	16:42:54,616	508,82041
2014/05/24	16:42:54,722	284,90862
2014/05/24	16:42:54,831	244,64841
2014/05/24	16:42:54,941	174,4585
2014/05/24	16:42:55,052	203,76871
2014/05/24	16:42:55,160	172,1034
2014/05/24	16:42:55,270	179,28095
2014/05/24	16:42:55,380	195,68299
2014/05/24	16:42:55,487	122,16417
2014/05/24	16:42:55,596	176,31587
2014/05/24	16:42:55,708	450,89524
2014/05/24	16:42:55,817	468,89569
2014/05/24	16:42:55,925	121,7229
2014/05/24	16:42:56,037	269,48209
2014/05/24	16:42:56,147	174,10794
2014/05/24	16:42:56,255	459,79592
2014/05/24	16:42:56,362	509,5585
