2014/07/26	16:31:47,164	183,45181
2014/07/26	16:31:47,273	439,5102
2014/07/26	16:31:47,382	425,25873
2014/07/26	16:31:47,494	332,52744
2014/07/26	16:31:47,603	509,43152
2014/07/26	16:31:47,713	278,50113
2014/07/26	16:31:47,817	226,94717
2014/07/26	16:31:47,929	579,85578
2014/07/26	16:31:48,039	477,24785
2014/07/26	16:31:48,148	573,85533
2014/07/26	16:31:48,255	532,86304
2014/07/26	16:31:48,369	410,15057
2014/07/26	16:31:48,478	121,19909
2014/07/26	16:31:48,586	151,00703
2014/07/26	16:31:48,697	1722,29569
2014/07/26	16:31:48,804	1559,41859
2014/07/26	16:31:48,914	1272,09637
2014/07/26	16:31:49,023	1587,50998
2014/07/26	16:31:49,131	1089,43878
2014/07/26	16:31:49,243	1019,40612
2014/07/26	16:31:49,352	2333,97007
2014/07/26	16:31:49,460	945,9127
2014/07/26	16:31:49,570	209,18345
2014/07/26	16:31:49,681	154,08435
2014/07/26	16:31:49,790	77,99388
2014/07/26	16:31:49,899	109,18186
2014/07/26	16:31:50,007	60,62517
2014/07/26	16:31:50,120	110,14331
2014/07/26	16:31:50,229	217,0059
2014/07/26	16:31:50,337	457,58073
2014/07/26	16:31:50,448	799,74014
2014/07/26	16:31:50,556	295,99819
2014/07/26	16:31:50,666	137,5263
2014/07/26	16:31:50,775	122,96077
2014/07/26	16:31:50,883	283,39501
2014/07/26	16:31:50,990	390,50998
2014/07/26	16:31:51,099	516,72721
2014/07/26	16:31:51,213	590,84422
2014/07/26	16:31:51,317	466,55283
2014/07/26	16:31:51,427	567,48277
2014/07/26	16:31:51,541	496,00952
2014/07/26	16:31:51,648	355,37483
2014/07/26	16:31:51,756	295,99172
2014/07/26	16:31:51,868	127,39025
2014/07/26	16:31:51,976	79,21315
2014/07/26	16:31:52,084	72,09138
2014/07/26	16:31:52,194	94,9898
2014/07/26	16:31:52,305	166,70385
2014/07/26	16:31:52,415	200,02245
2014/07/26	16:31:52,523	96,45646
2014/07/26	16:31:52,631	107,47256
2014/07/26	16:31:52,745	106,89456
2014/07/26	16:31:52,848	113,63288
2014/07/26	16:31:52,960	136,09841
2014/07/26	16:31:53,070	127,17868
2014/07/26	16:31:53,178	70,3254
2014/07/26	16:31:53,288	156,1585
2014/07/26	16:31:53,397	543,52948
2014/07/26	16:31:53,510	620,95306
2014/07/26	16:31:53,617	434,64467
2014/07/26	16:31:53,726	191,67868
2014/07/26	16:31:53,834	124,27256
2014/07/26	16:31:53,948	159,07664
2014/07/26	16:31:54,055	201,59297
2014/07/26	16:31:54,165	148,73968
2014/07/26	16:31:54,272	190,09932
2014/07/26	16:31:54,381	143,73401
2014/07/26	16:31:54,493	222,36871
2014/07/26	16:31:54,602	213,19161
2014/07/26	16:31:54,713	222,31746
2014/07/26	16:31:54,817	293,47506
2014/07/26	16:31:54,928	387,68254
2014/07/26	16:31:55,038	245,63492
2014/07/26	16:31:55,148	99,17755
2014/07/26	16:31:55,256	152,40215
2014/07/26	16:31:55,368	109,3483
2014/07/26	16:31:55,477	171,77755
2014/07/26	16:31:55,588	77,48889
2014/07/26	16:31:55,698	107,20635
2014/07/26	16:31:55,807	99,13787
2014/07/26	16:31:55,911	106,84785
2014/07/26	16:31:56,026	78,8127
2014/07/26	16:31:56,134	252,89841
2014/07/26	16:31:56,240	456,67211
2014/07/26	16:31:56,351	352,89728
2014/07/26	16:31:56,459	255,36848
2014/07/26	16:31:56,569	226,10816
2014/07/26	16:31:56,677	210,29592
2014/07/26	16:31:56,788	227,39206
2014/07/26	16:31:56,895	432,86259
2014/07/26	16:31:57,009	488,57324
2014/07/26	16:31:57,114	337,52109
2014/07/26	16:31:57,228	543,21587
2014/07/26	16:31:57,336	496,23243
2014/07/26	16:31:57,446	195,37914
2014/07/26	16:31:57,554	525,83764
2014/07/26	16:31:57,664	317,30272
2014/07/26	16:31:57,772	537,90454
2014/07/26	16:31:57,880	248,94649
2014/07/26	16:31:57,992	656,52472
2014/07/26	16:31:58,101	751,60023
2014/07/26	16:31:58,212	671,62562
2014/07/26	16:31:58,323	487,08798
2014/07/26	16:31:58,431	100,74558
2014/07/26	16:31:58,541	176,18912
2014/07/26	16:31:58,651	177,27279
2014/07/26	16:31:58,756	625,23163
2014/07/26	16:31:58,869	340,578
2014/07/26	16:31:58,978	291,90499
2014/07/26	16:31:59,086	122,81633
2014/07/26	16:31:59,198	102,63016
2014/07/26	16:31:59,306	233,96961
2014/07/26	16:31:59,414	251,56553
2014/07/26	16:31:59,521	189,35125
2014/07/26	16:31:59,635	154,18844
2014/07/26	16:31:59,740	187,83991
2014/07/26	16:31:59,849	215,75442
2014/07/26	16:31:59,961	139,37336
2014/07/26	16:32:00,073	182,32948
2014/07/26	16:32:00,178	171,30975
2014/07/26	16:32:00,288	174,49977
2014/07/26	16:32:00,397	236,83878
2014/07/26	16:32:00,505	92,09524
2014/07/26	16:32:00,618	192,3263
2014/07/26	16:32:00,727	605,01542
2014/07/26	16:32:00,838	401,76984
2014/07/26	16:32:00,948	337,38005
2014/07/26	16:32:01,056	746,55125
2014/07/26	16:32:01,163	696,04444
2014/07/26	16:32:01,272	536,43583
2014/07/26	16:32:01,380	540,80816
2014/07/26	16:32:01,495	325,78299
2014/07/26	16:32:01,604	307,34943
2014/07/26	16:32:01,712	270,89365
2014/07/26	16:32:01,823	184,85896
2014/07/26	16:32:01,931	343,86145
2014/07/26	16:32:02,041	249,14739
2014/07/26	16:32:02,148	554,21156
2014/07/26	16:32:02,256	1031,77018
2014/07/26	16:32:02,370	973,27143
2014/07/26	16:32:02,473	1407,00998
2014/07/26	16:32:02,588	1580,7127
2014/07/26	16:32:02,692	1240,2288
2014/07/26	16:32:02,803	1865,62608
2014/07/26	16:32:02,914	2627,32086
2014/07/26	16:32:03,023	1477,33016
2014/07/26	16:32:03,130	1544,19569
2014/07/26	16:32:03,243	1427,34558
2014/07/26	16:32:03,352	902,69433
2014/07/26	16:32:03,463	1175,06837
2014/07/26	16:32:03,570	679,5415
2014/07/26	16:32:03,682	788,52154
2014/07/26	16:32:03,786	1087,09524
2014/07/26	16:32:03,895	1250,36054
2014/07/26	16:32:04,009	1179,16939
2014/07/26	16:32:04,116	700,59977
2014/07/26	16:32:04,225	919,59501
2014/07/26	16:32:04,334	879,13515
2014/07/26	16:32:04,444	379,50635
2014/07/26	16:32:04,552	245,0746
2014/07/26	16:32:04,662	494,16519
2014/07/26	16:32:04,772	237,17007
2014/07/26	16:32:04,880	175,07052
2014/07/26	16:32:04,992	111,06009
2014/07/26	16:32:05,101	195,50091
2014/07/26	16:32:05,208	90,41224
2014/07/26	16:32:05,318	363,82789
2014/07/26	16:32:05,429	212,70726
2014/07/26	16:32:05,539	210,23923
2014/07/26	16:32:05,648	527,88435
2014/07/26	16:32:05,757	338,14603
2014/07/26	16:32:05,869	262,2576
2014/07/26	16:32:05,974	211,31859
2014/07/26	16:32:06,085	245,05057
2014/07/26	16:32:06,195	376,3873
2014/07/26	16:32:06,302	179,26599
2014/07/26	16:32:06,413	107,23492
2014/07/26	16:32:06,522	131,69524
2014/07/26	16:32:06,630	190,94989
2014/07/26	16:32:06,744	86,46054
2014/07/26	16:32:06,852	99,79456
2014/07/26	16:32:06,960	144,23798
2014/07/26	16:32:07,070	97,38345
2014/07/26	16:32:07,182	98,14467
2014/07/26	16:32:07,286	130,23401
2014/07/26	16:32:07,400	385,84059
2014/07/26	16:32:07,508	345,26508
2014/07/26	16:32:07,620	132,65057
2014/07/26	16:32:07,729	150,97256
2014/07/26	16:32:07,837	134,5356
2014/07/26	16:32:07,948	77,8068
2014/07/26	16:32:08,053	63,97438
2014/07/26	16:32:08,163	148,40454
2014/07/26	16:32:08,272	134,90816
2014/07/26	16:32:08,383	89,73175
2014/07/26	16:32:08,495	196,80499
2014/07/26	16:32:08,599	86,08662
2014/07/26	16:32:08,710	81,88707
2014/07/26	16:32:08,820	68,49184
2014/07/26	16:32:08,927	261,35737
2014/07/26	16:32:09,038	239,21361
2014/07/26	16:32:09,147	69,27642
2014/07/26	16:32:09,255	323,29977
2014/07/26	16:32:09,370	405,41361
2014/07/26	16:32:09,473	339,69297
2014/07/26	16:32:09,585	245,9678
2014/07/26	16:32:09,695	282,97891
2014/07/26	16:32:09,803	203,25125
2014/07/26	16:32:09,913	227,84218
2014/07/26	16:32:10,025	149,97778
2014/07/26	16:32:10,133	123,11497
2014/07/26	16:32:10,245	158,68163
2014/07/26	16:32:10,354	167,38583
2014/07/26	16:32:10,462	325,30045
